year,geo_type,geo_id,geo_rank,geography,number,percent,percent_low,percent_high
2017,Borough,1,1,Bronx,720000,69.3,69.3,69.3
2017,Borough,2,1,Brooklyn,1132000,58.2,58.2,58.2
2017,Borough,3,1,Manhattan,582000,44.4,44.4,44.4
2017,Borough,4,1,Queens,1037000,58.2,58.2,58.2
2017,Borough,5,1,Staten Island,221000,61.4,61.4,61.4
2017,Citywide,1,0,New York City,3692000,57.4,57.4,57.4
2016,UHF34,101,3,Kingsbridge - Riverdale,40000,55.8,55.8,55.8
2016,UHF34,102,3,Northeast Bronx,106000,69.7,69.7,69.7
2016,UHF34,103,3,Fordham - Bronx Pk,125000,66.9,66.9,66.9
2016,UHF34,104,3,Pelham - Throgs Neck,157000,68.1,68.1,68.1
2016,UHF34,201,3,Greenpoint,55000,53.5,53.5,53.5
2016,UHF34,202,3,Downtown - Heights - Slope,80000,44.5,44.5,44.5
2016,UHF34,203,3,Bedford Stuyvesant - Crown Heights,153000,63.2,63.2,63.2
2016,UHF34,204,3,East New York,98000,72.8,72.8,72.8
2016,UHF34,205,3,Sunset Park,47000,46.6,46.6,46.6
2016,UHF34,206,3,Borough Park,138000,58.3,58.3,58.3
2016,UHF34,207,3,East Flatbush - Flatbush,141000,62.3,62.3,62.3
2016,UHF34,208,3,Canarsie - Flatlands,102000,67.7,67.7,67.7
2016,UHF34,209,3,Bensonhurst - Bay Ridge,88000,55.4,55.4,55.4
2016,UHF34,210,3,Coney Island - Sheepshead Bay,144000,61.6,61.6,61.6
2016,UHF34,211,3,Williamsburg - Bushwick,88000,57.6,57.6,57.6
2016,UHF34,301,3,Washington Heights,125000,63.3,63.3,63.3
2016,UHF34,302,3,Central Harlem - Morningside Heights,73000,59.8,59.8,59.8
2016,UHF34,303,3,East Harlem,49000,60.2,60.2,60.2
2016,UHF34,304,3,Upper West Side,74000,41.5,41.5,41.5
2016,UHF34,401,3,Long Island City - Astoria,92000,51.5,51.5,51.5
2016,UHF34,402,3,West Queens,195000,51.9,51.9,51.9
2016,UHF34,403,3,Flushing - Clearview,95000,43.7,43.7,43.7
2016,UHF34,405,3,Ridgewood - Forest Hills,122000,59.6,59.6,59.6
2016,UHF34,407,3,Southwest Queens,127000,62,62,62
2016,UHF34,408,3,Jamaica,140000,63.2,63.2,63.2
2016,UHF34,409,3,Southeast Queens,118000,74.3,74.3,74.3
2016,UHF34,410,3,Rockaways,52000,66.4,66.4,66.4
2016,UHF34,305307,3,Upper East Side-Gramercy,121000,39.4,39.4,39.4
2016,UHF34,306308,3,Chelsea-Village,71000,34.8,34.8,34.8
2016,UHF34,309310,3,Union Square-Lower Manhattan,84000,39.5,39.5,39.5
2016,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,72000,48.7,48.7,48.7
2016,UHF34,501502,3,Northern SI,86000,60.4,60.4,60.4
2016,UHF34,503504,3,Southern SI,136000,63.7,63.7,63.7
2016,UHF34,105106107,3,South Bronx,296000,75.8,75.8,75.8
2016,Borough,1,1,Bronx,729000,70.2,70.2,70.2
2016,Borough,2,1,Brooklyn,1141000,59,59,59
2016,Borough,3,1,Manhattan,601000,45.9,45.9,45.9
2016,Borough,4,1,Queens,1015000,56.6,56.6,56.6
2016,Borough,5,1,Staten Island,222000,62.4,62.4,62.4
2016,Citywide,1,0,New York City,3707000,57.7,57.7,57.7
2015,UHF34,101,3,Kingsbridge - Riverdale,46000,65.3,65.3,65.3
2015,UHF34,102,3,Northeast Bronx,97000,65.2,65.2,65.2
