station_id,station_name,latitude,longitude,zipcode,uhf34,uhf34_neighborhood,borough
3144,E 81 St & Park Ave,40.77677702,-73.9590097,10028,305307,Upper East Side Gramercy,Manhattan
505,6 Ave & W 33 St,40.74901271,-73.98848395,10120,NA,NA,NA
3288,E 88 St & 1 Ave,40.778301,-73.9488134,10128,305307,Upper East Side Gramercy,Manhattan
302,Avenue D & E 3 St,40.72082834,-73.97793172,10009,309310,"Union Square, Lower Manhattan",Manhattan
3596,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,11225,207,East Flatbush Flatbush,Brooklyn
261,Johnson St & Gold St,40.69474881,-73.98362464,11201,202,Downtown Heights Slope,Brooklyn
3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,11217,202,Downtown Heights Slope,Brooklyn
3646,35 Ave & 10 St,40.76315481910373,-73.93985509872437,11106,401,Long Island City Astoria,Queens
3134,3 Ave & E 62 St,40.76312584,-73.96526895,10065,NA,NA,NA
295,Pike St & E Broadway,40.71406667,-73.99293911,10002,309310,"Union Square, Lower Manhattan",Manhattan
3424,E 106 St & Lexington Ave,40.791976,-73.945993,10029,303,East Harlem,Manhattan
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
418,Front St & Gold St,40.70224,-73.982578,11251,NA,NA,NA
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,10205,NA,NA,NA
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,11221,211,Williamsburg Bushwick,Brooklyn
315,South St & Gouverneur Ln,40.70355377,-74.00670227,10043,NA,NA,NA
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,11201,202,Downtown Heights Slope,Brooklyn
3345,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618,10037,302,Central Harlem Morningside Heights,Manhattan
3377,Carroll St & Bond St,40.6786115,-73.99037292,11231,202,Downtown Heights Slope,Brooklyn
385,E 55 St & 2 Ave,40.75797322,-73.96603308,10022,305307,Upper East Side Gramercy,Manhattan
407,Henry St & Poplar St,40.700469,-73.991454,11201,202,Downtown Heights Slope,Brooklyn
144,Nassau St & Navy St,40.69839895,-73.98068914,11251,NA,NA,NA
3551,3 Ave & E 112 St,40.795508,-73.941606,10029,303,East Harlem,Manhattan
3148,E 84 St & 1 Ave,40.77565541,-73.95068615,10028,305307,Upper East Side Gramercy,Manhattan
82,St James Pl & Pearl St,40.71117416,-74.00016545,10038,309310,"Union Square, Lower Manhattan",Manhattan
3124,46 Ave & 5 St,40.74731,-73.95451,11109,NA,NA,NA
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
350,Clinton St & Grand St,40.71559509,-73.9870295,10002,309310,"Union Square, Lower Manhattan",Manhattan
3329,Degraw St & Smith St,40.6829151,-73.99318208,11217,202,Downtown Heights Slope,Brooklyn
3151,E 81 St & York Ave,40.7728384,-73.94989233,10075,NA,NA,NA
3363,E 102 St & Park Ave,40.7904828,-73.95033068,10029,303,East Harlem,Manhattan
359,E 47 St & Park Ave,40.75510267,-73.97498696,10172,NA,NA,NA
392,Jay St & Tech Pl,40.695065,-73.987167,11201,202,Downtown Heights Slope,Brooklyn
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,10027,302,Central Harlem Morningside Heights,Manhattan
363,West Thames St,40.70834698,-74.01713445,10280,309310,"Union Square, Lower Manhattan",Manhattan
3543,Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917358,10027,302,Central Harlem Morningside Heights,Manhattan
3497,Pleasant Ave & E 116 St,40.7949879,-73.9333349,10035,303,East Harlem,Manhattan
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,11207,204,East New York,Brooklyn
