bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
39440,Subscriber,Male,45,2019-09-01T00:18:17Z,2019-09-01T00:38:43Z,40.6704922,-73.98541675,40.6721683,-73.9609,3404,7 St & 5 Ave,11215,Downtown Heights Slope,3582,Lincoln Pl & Classon Ave,11238,Bedford Stuyvesant Crown Heights,47,50.8,7.44,70,62.9,6.61,Brooklyn,Brooklyn,696,411
38294,Subscriber,Female,34,2019-09-01T00:18:26Z,2019-09-01T00:40:26Z,40.73401143,-74.00293877,40.693261,-73.968896,380,W 4 St & 7 Ave S,10014,Chelsea Village,366,Clinton Ave & Myrtle Ave,11205,Downtown Heights Slope,37,38.1,10.02,97,50.8,7.44,Brooklyn,Manhattan,137,1842
32385,Subscriber,Female,29,2019-09-01T00:18:40Z,2019-09-01T00:24:35Z,40.71167351,-73.95141312,40.71929301,-73.94500379,3082,Hope St & Union Ave,11211,Greenpoint,3095,Graham Ave & Herbert St,11222,Greenpoint,88,41.8,8.56,61,41.8,8.56,Brooklyn,Brooklyn,1291,542
38510,Customer,Female,22,2019-09-01T00:19:13Z,2019-09-01T00:51:33Z,40.671907,-73.993612,40.69512845,-73.99595065,3795,10 St & 2 Ave,11215,Downtown Heights Slope,406,Hicks St & Montague St,11201,Downtown Heights Slope,47,50.8,7.44,64,50.8,7.44,Brooklyn,Brooklyn,227,1717
19013,Subscriber,Female,27,2019-09-01T00:20:55Z,2019-09-01T00:37:05Z,40.71044554,-73.96525063,40.69425403,-73.94626915,389,Broadway & Berry St,11207,East New York,3060,Willoughby Ave & Tompkins Ave,11221,Williamsburg Bushwick,99,71.2,6.56,96,61.8,7.5,Brooklyn,Brooklyn,1272,679
34314,Subscriber,Female,26,2019-09-01T00:21:13Z,2019-09-01T00:39:39Z,40.71044554,-73.96525063,40.67759206937376,-73.955637216568,389,Broadway & Berry St,11207,East New York,3673,Dean St & Franklin Ave,11238,Bedford Stuyvesant Crown Heights,99,71.2,6.56,70,62.9,6.61,Brooklyn,Brooklyn,1272,1135
20254,Subscriber,Female,26,2019-09-01T00:21:19Z,2019-09-01T00:30:36Z,40.689888,-73.981013,40.697787,-73.973736,324,DeKalb Ave & Hudson Ave,11221,Williamsburg Bushwick,242,Carlton Ave & Flushing Ave,11238,Bedford Stuyvesant Crown Heights,96,61.8,7.5,70,62.9,6.61,Brooklyn,Brooklyn,1597,969
15591,Subscriber,Male,23,2019-09-01T00:22:14Z,2019-09-01T00:34:01Z,40.71285887,-73.96590294,40.73266,-73.95826,460,S 4 St & Wythe Ave,11211,Greenpoint,3116,Huron St & Franklin St,11222,Greenpoint,88,41.8,8.56,61,41.8,8.56,Brooklyn,Brooklyn,2275,1256
35368,Customer,Male,29,2019-09-01T00:22:32Z,2019-09-01T00:37:32Z,40.67759206937376,-73.955637216568,40.6933982,-73.939877,3673,Dean St & Franklin Ave,11238,Bedford Stuyvesant Crown Heights,3059,Pulaski St & Marcus Garvey Blvd,11206,Williamsburg Bushwick,70,62.9,6.61,100,61.8,7.5,Brooklyn,Brooklyn,997,449
19182,Subscriber,Male,30,2019-09-01T00:22:46Z,2019-09-01T00:50:42Z,40.702997,-73.92997,40.6740123,-73.9671457,3758,George St & Wilson Ave,11207,East New York,3581,Underhill Ave & Lincoln Pl,11238,Bedford Stuyvesant Crown Heights,99,71.2,6.56,70,62.9,6.61,Brooklyn,Brooklyn,388,992
15462,Customer,Unknown,50,2019-09-01T00:22:57Z,2019-09-01T00:58:30Z,40.69474881,-73.98362464,40.70411791,-73.94818595,261,Johnson St & Gold St,11201,Downtown Heights Slope,3069,Lorimer St & Broadway,11221,Williamsburg Bushwick,64,50.8,7.44,96,61.8,7.5,Brooklyn,Brooklyn,818,487
39669,Subscriber,Male,34,2019-09-01T00:23:29Z,2019-09-01T00:31:12Z,40.715353,-73.93856,40.71167351,-73.95141312,3766,Sharon St & Olive St,11211,Greenpoint,3082,Hope St & Union Ave,11211,Greenpoint,88,41.8,8.56,88,41.8,8.56,Brooklyn,Brooklyn,598,1524
33373,Subscriber,Male,29,2019-09-01T00:23:56Z,2019-09-01T00:29:18Z,40.6721683,-73.9609,40.6679411,-73.9588,3582,Lincoln Pl & Classon Ave,11238,Bedford Stuyvesant Crown Heights,3590,Carroll St & Franklin Ave,11225,East Flatbush Flatbush,70,62.9,6.61,88,58.9,6.31,Brooklyn,Brooklyn,364,291
35250,Customer,Male,25,2019-09-01T00:24:23Z,2019-09-01T00:39:54Z,40.67890679,-73.94142771,40.698568,-73.918877,3041,Kingston Ave & Herkimer St,11225,East Flatbush Flatbush,3781,Greene Av & Myrtle Av,11237,Williamsburg Bushwick,88,58.9,6.31,98,61.8,7.5,Brooklyn,Brooklyn,710,1005
39870,Subscriber,Male,32,2019-09-01T00:24:28Z,2019-09-01T00:34:10Z,40.6851532,-73.94111,40.680342423,-73.9557689392,3050,Putnam Ave & Throop Ave,11221,Williamsburg Bushwick,396,Lefferts Pl & Franklin Ave,11216,Bedford Stuyvesant Crown Heights,96,61.8,7.5,83,62.9,6.61,Brooklyn,Brooklyn,674,540
18299,Subscriber,Female,34,2019-09-01T00:25:37Z,2019-09-01T00:58:44Z,40.735238,-74.000271,40.71469,-73.95739,383,Greenwich Ave & Charles St,10014,Chelsea Village,3085,Roebling St & N 4 St,11211,Greenpoint,37,38.1,10.02,88,41.8,8.56,Brooklyn,Manhattan,72,1618
38612,Subscriber,Male,41,2019-09-01T00:25:40Z,2019-09-01T00:39:52Z,40.677236,-74.015665,40.6859296,-74.00242364,3348,Coffey St & Conover St,11231,Downtown Heights Slope,3422,Columbia St & Degraw St,11231,Downtown Heights Slope,84,50.8,7.44,84,50.8,7.44,Brooklyn,Brooklyn,657,983
38947,Customer,Male,32,2019-09-01T00:25:55Z,2019-09-01T00:51:50Z,40.720747,-73.986274,40.724055,-73.955736,3737,Stanton St & Norfolk St,10002,"Union Square, Lower Manhattan",3105,N 15 St & Wythe Ave,11222,Greenpoint,97,40.5,8.67,61,41.8,8.56,Brooklyn,Manhattan,267,540
35005,Subscriber,Male,26,2019-09-01T00:26:02Z,2019-09-01T00:41:06Z,40.6933982,-73.939877,40.672695,-73.954131,3059,Pulaski St & Marcus Garvey Blvd,11206,Williamsburg Bushwick,3579,Sterling Pl & Bedford Ave,11233,Bedford Stuyvesant Crown Heights,100,61.8,7.5,97,62.9,6.61,Brooklyn,Brooklyn,460,997
39597,Subscriber,Female,35,2019-09-01T00:26:03Z,2019-09-01T00:32:34Z,40.677236,-74.015665,40.679043,-74.011169,3348,Coffey St & Conover St,11231,Downtown Heights Slope,3344,Pioneer St & Van Brunt St,11231,Downtown Heights Slope,84,50.8,7.44,84,50.8,7.44,Brooklyn,Brooklyn,657,679
39040,Subscriber,Male,28,2019-09-01T00:26:22Z,2019-09-01T00:47:38Z,40.707165,-73.923711,40.715143,-73.944507,3763,Wyckoff Av & Jefferson St,11385,Ridgewood Forest Hills,3086,Graham Ave & Conselyea St,11211,Greenpoint,75,61.6,6.56,88,41.8,8.56,Brooklyn,Queens,842,1685
15169,Subscriber,Female,44,2019-09-01T00:26:41Z,2019-09-01T00:34:17Z,40.6794388,-73.9680438,40.6853761,-73.98302136,3558,Bergen St & Vanderbilt Ave,11213,Bedford Stuyvesant Crown Heights,3412,Pacific St & Nevins St,11217,Downtown Heights Slope,97,62.9,6.61,74,50.8,7.44,Brooklyn,Brooklyn,1450,903
39773,Customer,Unknown,50,2019-09-01T00:27:03Z,2019-09-01T00:33:06Z,40.711863,-73.944024,40.71924,-73.95242,3081,Graham Ave & Grand St,11211,Greenpoint,3096,Union Ave & N 12 St,11211,Greenpoint,88,41.8,8.56,88,41.8,8.56,Brooklyn,Brooklyn,1076,1687
32323,Subscriber,Male,32,2019-09-01T00:27:09Z,2019-09-01T00:38:46Z,40.6765198,-73.9596082,40.6849668,-73.98620772,3562,Classon Ave & St Marks Ave,11238,Bedford Stuyvesant Crown Heights,3411,Bond St & Bergen St,11217,Downtown Heights Slope,70,62.9,6.61,74,50.8,7.44,Brooklyn,Brooklyn,929,911
26782,Customer,Male,28,2019-09-01T00:28:05Z,2019-09-01T00:53:42Z,40.72966729392978,-73.98067966103554,40.71335226222875,-73.9491033554077,3711,E 13 St & Avenue A,10009,"Union Square, Lower Manhattan",3453,Devoe St & Lorimer St,11211,Greenpoint,88,40.5,8.67,88,41.8,8.56,Brooklyn,Manhattan,147,1354
30778,Customer,Female,28,2019-09-01T00:29:17Z,2019-09-01T00:53:58Z,40.66514681533792,-73.97637605667114,40.69237074,-73.93705428,3300,Prospect Park West & 8 St,11215,Downtown Heights Slope,3058,Lewis Ave & Kosciuszko St,11221,Williamsburg Bushwick,47,50.8,7.44,96,61.8,7.5,Brooklyn,Brooklyn,1057,736
32465,Subscriber,Female,26,2019-09-01T00:29:28Z,2019-09-01T00:37:40Z,40.71413311,-73.95234386,40.72079821,-73.95484712,3087,Metropolitan Ave & Meeker Ave,11211,Greenpoint,3101,N 12 St & Bedford Ave,11211,Greenpoint,88,41.8,8.56,88,41.8,8.56,Brooklyn,Brooklyn,1260,1675
19396,Subscriber,Male,29,2019-09-01T00:29:47Z,2019-09-01T00:35:53Z,40.6765198,-73.9596082,40.6845683,-73.95881081,3562,Classon Ave & St Marks Ave,11238,Bedford Stuyvesant Crown Heights,289,Monroe St & Classon Ave,11221,Williamsburg Bushwick,70,62.9,6.61,96,61.8,7.5,Brooklyn,Brooklyn,929,876
15926,Customer,Male,24,2019-09-01T00:29:52Z,2019-09-01T00:44:21Z,40.68216564,-73.95399026,40.66514681533792,-73.97637605667114,436,Hancock St & Bedford Ave,11233,Bedford Stuyvesant Crown Heights,3300,Prospect Park West & 8 St,11215,Downtown Heights Slope,97,62.9,6.61,47,50.8,7.44,Brooklyn,Brooklyn,548,1138
18232,Subscriber,Male,43,2019-09-01T00:32:09Z,2019-09-01T00:37:27Z,40.69102925677968,-73.99183362722397,40.6861758,-73.99645295,3242,Schermerhorn St & Court St,11201,Downtown Heights Slope,3308,Kane St & Clinton St,11231,Downtown Heights Slope,64,50.8,7.44,84,50.8,7.44,Brooklyn,Brooklyn,1211,841
30649,Customer,Male,28,2019-09-01T00:33:07Z,2019-09-01T00:39:37Z,40.724812564400175,-73.94752621650696,40.73026,-73.95394,3100,Nassau Ave & Newell St,11222,Greenpoint,3113,Greenpoint Ave & Manhattan Ave,11222,Greenpoint,61,41.8,8.56,61,41.8,8.56,Brooklyn,Brooklyn,942,1677
38190,Subscriber,Female,34,2019-09-01T00:33:40Z,2019-09-01T01:08:12Z,40.680611,-73.99475825,40.6814598,-73.934903,3382,Carroll St & Smith St,11231,Downtown Heights Slope,3043,Lewis Ave & Decatur St,11233,Bedford Stuyvesant Crown Heights,84,50.8,7.44,97,62.9,6.61,Brooklyn,Brooklyn,1432,551
39839,Subscriber,Male,29,2019-09-01T00:33:42Z,2019-09-01T00:39:45Z,40.6769694,-73.96579,40.68539567,-73.97431458,3574,Prospect Pl & Underhill Ave,11238,Bedford Stuyvesant Crown Heights,353,S Portland Ave & Hanson Pl,11217,Downtown Heights Slope,70,62.9,6.61,74,50.8,7.44,Brooklyn,Brooklyn,635,1066
38201,Subscriber,Female,32,2019-09-01T00:33:43Z,2019-09-01T00:40:53Z,40.68981035,-73.97493121,40.68488,-73.96304,241,DeKalb Ave & S Portland Ave,11221,Williamsburg Bushwick,3049,Cambridge Pl & Gates Ave,11238,Bedford Stuyvesant Crown Heights,96,61.8,7.5,70,62.9,6.61,Brooklyn,Brooklyn,1194,867
39669,Subscriber,Male,35,2019-09-01T00:35:15Z,2019-09-01T00:48:19Z,40.71167351,-73.95141312,40.72708584,-73.95299117,3082,Hope St & Union Ave,11211,Greenpoint,3110,Meserole Ave & Manhattan Ave,11222,Greenpoint,88,41.8,8.56,61,41.8,8.56,Brooklyn,Brooklyn,1291,1624
38094,Subscriber,Male,34,2019-09-01T00:35:56Z,2019-09-01T00:42:08Z,40.68900443,-73.96023854,40.68186,-73.959432,364,Lafayette Ave & Classon Ave,11221,Williamsburg Bushwick,3789,Fulton St & Irving Pl,11207,East New York,96,61.8,7.5,99,71.2,6.56,Brooklyn,Brooklyn,1089,910
27205,Customer,Unknown,29,2019-09-01T00:36:08Z,2019-09-01T00:49:52Z,40.66514681533792,-73.97637605667114,40.6642406,-73.9574686,3300,Prospect Park West & 8 St,11215,Downtown Heights Slope,3596,Sullivan Pl & Bedford Ave,11225,East Flatbush Flatbush,47,50.8,7.44,88,58.9,6.31,Brooklyn,Brooklyn,1057,198
32386,Customer,Male,27,2019-09-01T00:36:21Z,2019-09-01T00:46:31Z,40.6829151,-73.99318208,40.6705135,-73.98876585,3329,Degraw St & Smith St,11217,Downtown Heights Slope,3403,4 Ave & 9 St,11215,Downtown Heights Slope,74,50.8,7.44,47,50.8,7.44,Brooklyn,Brooklyn,1004,874
28938,Subscriber,Male,58,2019-09-01T00:36:26Z,2019-09-01T00:43:38Z,40.688417427540834,-73.98451656103134,40.68764484,-73.96968902,3486,Schermerhorn St & Bond St,11201,Downtown Heights Slope,420,Clermont Ave & Lafayette Ave,11205,Downtown Heights Slope,64,50.8,7.44,97,50.8,7.44,Brooklyn,Brooklyn,1759,794
19217,Subscriber,Male,39,2019-09-01T00:36:41Z,2019-09-01T00:46:48Z,40.6804836,-73.9646795,40.68981035,-73.97493121,3544,Underhill Ave & Pacific St,11238,Bedford Stuyvesant Crown Heights,241,DeKalb Ave & S Portland Ave,11221,Williamsburg Bushwick,70,62.9,6.61,96,61.8,7.5,Brooklyn,Brooklyn,777,1488
32289,Customer,Unknown,50,2019-09-01T00:37:13Z,2019-09-01T03:57:11Z,40.702831,-73.9333,40.702831,-73.9333,3770,Central Ave & Flushing Ave,11206,Williamsburg Bushwick,3770,Central Ave & Flushing Ave,11206,Williamsburg Bushwick,100,61.8,7.5,100,61.8,7.5,Brooklyn,Brooklyn,446,511
