bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
29961,Subscriber,Male,38,2019-09-01T07:50:36Z,2019-09-01T08:00:54Z,40.7682,-73.9322662,40.7671,-73.9169858,3607,31 Ave & 14 St,11106,Long Island City Astoria,3617,28 Ave & 35 St,11103,Long Island City Astoria,76,56.4,7.99,73,56.4,7.99,Queens,Queens,328,458
39501,Subscriber,Male,30,2019-09-01T07:51:26Z,2019-09-01T08:01:21Z,40.76315481910373,-73.93985509872437,40.75110165,-73.94073717,3646,35 Ave & 10 St,11106,Long Island City Astoria,3129,Queens Plaza North & Crescent St,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,409,1259
33905,Subscriber,Female,44,2019-09-01T08:01:19Z,2019-09-01T08:29:12Z,40.7647,-73.9240312,40.73266,-73.95826,3603,31 Ave & 30 St,11369,West Queens,3116,Huron St & Franklin St,11222,Greenpoint,84,62.8,7.35,61,41.8,8.56,Brooklyn,Queens,377,181
31296,Subscriber,Male,54,2019-09-01T08:20:46Z,2019-09-01T08:32:26Z,40.75325964,-73.94335788,40.75325964,-73.94335788,3130,21 St & Queens Plaza North,11101,Long Island City Astoria,3130,21 St & Queens Plaza North,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,918,873
16870,Subscriber,Male,45,2019-09-01T08:26:15Z,2019-09-01T09:02:31Z,40.75651272984955,-73.92957486212252,40.72019576,-73.98997825,3745,36 Ave & 31 St,11106,Long Island City Astoria,401,Allen St & Rivington St,10002,"Union Square, Lower Manhattan",76,56.4,7.99,97,40.5,8.67,Manhattan,Queens,530,13
17876,Subscriber,Female,41,2019-09-01T08:27:36Z,2019-09-01T08:43:29Z,40.7692475,-73.9354504,40.7449067,-73.9534573,3609,Vernon Blvd & 31 Ave,11106,Long Island City Astoria,3611,Vernon Blvd & 47 Rd,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,550,599
30166,Subscriber,Male,29,2019-09-01T08:29:31Z,2019-09-01T08:35:26Z,40.7671,-73.9169858,40.756913,-73.921631,3617,28 Ave & 35 St,11103,Long Island City Astoria,3572,34 Ave & 38 St,11101,Long Island City Astoria,73,56.4,7.99,85,56.4,7.99,Queens,Queens,475,980
39871,Subscriber,Male,47,2019-09-01T08:32:08Z,2019-09-01T08:43:56Z,40.7739825,-73.9309134,40.7656251,-73.9136695,3621,27 Ave & 9 St,11102,Long Island City Astoria,3616,Steinway St & 28 Ave,11103,Long Island City Astoria,76,56.4,7.99,73,56.4,7.99,Queens,Queens,433,714
33212,Subscriber,Male,19,2019-09-01T08:58:23Z,2019-09-01T09:03:30Z,40.7601853,-73.9362726,40.75110165,-73.94073717,3564,21 St & 36 Ave,11106,Long Island City Astoria,3129,Queens Plaza North & Crescent St,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,184,1259
33603,Subscriber,Male,28,2019-09-01T09:04:53Z,2019-09-01T09:13:50Z,40.7519071,-73.9479119,40.770845,-73.934171,3620,11 St & 43 Ave,11101,Long Island City Astoria,3610,Vernon Blvd & 30 Rd,11106,Long Island City Astoria,85,56.4,7.99,76,56.4,7.99,Queens,Queens,265,548
39871,Customer,Male,31,2019-09-01T09:11:20Z,2019-09-01T09:19:20Z,40.7656251,-73.9136695,40.7569332,-73.9262231,3616,Steinway St & 28 Ave,11103,Long Island City Astoria,3568,34 St & 35 Ave,11106,Long Island City Astoria,73,56.4,7.99,76,56.4,7.99,Queens,Queens,619,316
38831,Subscriber,Male,40,2019-09-01T09:12:43Z,2019-09-01T09:21:25Z,40.7576314,-73.9391224,40.761584,-73.925921,3559,21 St & 38 Ave,11101,Long Island City Astoria,3593,31 St & Broadway,11106,Long Island City Astoria,85,56.4,7.99,76,56.4,7.99,Queens,Queens,151,1175
38929,Subscriber,Male,45,2019-09-01T09:26:56Z,2019-09-01T09:41:14Z,40.74718234,-73.9432635,40.7437524099784,-73.94176483154297,3126,44 Dr & Jackson Ave,11101,Long Island City Astoria,3704,47 Ave & Skillman Ave,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,1114,45
17832,Subscriber,Male,47,2019-09-01T09:53:06Z,2019-09-01T10:00:19Z,40.7671863,-73.9373554,40.7699176,-73.9184057,3588,Vernon Blvd & 10 St,11106,Long Island City Astoria,3516,31 St & Astoria Blvd,11102,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,538,448
