latitude,longitude,postcode
40.76440023,-73.96648977,10021
40.71754834,-74.01322069,10282
40.6793307,-73.97519523,11217
40.69795031569544,-73.97077560424805,11205
40.74345335,-74.00004031,10011
40.7981856,-73.9605909006,10025
40.75038009,-73.98338988,10018
40.68851534,-73.9647628,11205
40.7595701,-73.9142678,11103
40.73756121181137,-74.00398269295692,10014
40.739445,-73.976806,10016
40.6721683,-73.9609,11238
40.73827428,-73.98751968,10003
40.741021509002664,-74.001384973526,10011
40.73224119,-74.00026394,10011
40.738046142482766,-73.99642959237099,10011
40.72779126,-73.98564945,10003
40.6792788,-73.98154004,11217
40.7835016,-73.955327,10128
40.74475148,-73.99915362,10011
40.722103786686034,-73.99724900722504,10012
40.799484,-73.955613,10026
40.73261787,-73.99158043,10003
40.75206862,-73.96784384,NA
40.76915505,-73.98191841,10463
40.7770575,-73.97898475,10023
40.73038599,-74.00214988,10014
40.7208736,-73.98085795,10009
40.71285887,-73.96590294,11211
40.76087502,-74.00277668,10199
40.72217444,-73.98368779,10009
40.692418292578466,-73.98949474096298,11207
40.75019995,-73.99093085,10001
40.69610226,-73.96751037,11205
40.7190095,-73.95852515,11249
40.6751622,-73.9814832,11215
40.71307916,-73.99851193,10038
40.76669671,-73.99061728,10019
40.7505853470215,-73.9946848154068,10001
40.72708584,-73.95299117,11222
40.6758329439129,-74.01472628116608,11231
40.71924,-73.95242,11211
40.71260486,-73.96264403,11249
40.68506807308177,-73.97790759801863,11217
40.76019252,-73.9912551,10019
40.8114323,-73.9518776,10027
40.70569254,-74.01677685,10280
40.76227205,-73.98788205,10019
40.73172428,-74.00674436,10014
40.70684203101325,-73.9544353965357,11249
40.689888,-73.981013,11221
40.71625008,-74.0091059,10014
40.74238787,-73.99726235,10011
40.72325,-73.94308,11211
40.714215,-73.981346,10002
40.71816969454208,-73.95520135760307,11211
40.74294891660091,-74.00413691997528,10011
40.68683208,-73.9796772,11227
40.72953837,-73.98426726,10009
40.75097711,-73.98765428,NA
40.751551,-73.993934,10001
40.76030096,-73.99884222,10018
40.7937704,-73.971888,10025
40.72110063,-73.9919254,10002
40.73944820130403,-74.00507032871246,10014
40.68926942,-73.98912867,11208
40.75018156325683,-74.00218427181244,10001
40.73492695,-73.99200509,10003
40.7829391,-73.9786517,10040
40.73532427,-73.99800419,10014
40.71469,-73.95739,NA
40.7462009,-73.98855723,10019
40.73704984,-73.99009296,10010
40.72917025,-73.99810231,10012
40.71117444,-73.99682619,10038
40.6707767,-73.9576801,11225
40.71286844,-73.95698119,11211
40.66314,-73.9605695,11225
40.713126,-73.984844,10002
40.75001986,-73.96905301,10158
40.75255434,-73.97282625,10017
40.71910537,-73.99973337,10013
40.6867443,-73.99063168,11213
40.71893904,-73.99266288,10002
40.77632142182271,-73.96427392959595,10075
40.75992262,-73.97648516,10019
40.75892386377695,-73.96226227283478,10022
40.71167351,-73.95141312,11211
40.76727216,-73.99392888,10019
40.707873,-74.00167,10038
40.71870987,-74.0090009,10013
40.722055,-73.989111,10002
40.6772744,-73.98282002,11215
40.72621788,-73.98379855,10009
40.72019576,-73.98997825,10002
40.7361967,-74.00859207,10014
40.736502,-73.97809472,10010
40.717571,-74.005549,10013
40.7103685423523,-73.94705951213837,11206
40.707644944175705,-73.96841526031494,11249
40.69236178,-73.98631746,11201
40.71534825,-73.96024116,11249
40.7557327,-73.9236611,11101
40.805159,-73.954692,10026
40.77801203,-73.95407149,10028
40.7519071,-73.9479119,11101
40.763604677958625,-73.98917958140373,10019
40.7381765,-73.97738662,10010
40.75455731,-73.96592976,10022
40.73143724085228,-73.99490341544151,10011
40.78472675,-73.96961715,10024
40.79017948095081,-73.97288918495178,10024
40.72185379,-74.00771779,10013
40.710451,-73.960876,11249
40.7699176,-73.9184057,11102
40.746745,-74.007756,10011
40.78339981,-73.98093133,10024
40.70924826276157,-73.96063148975372,11207
40.724055,-73.955736,11222
40.7727966,-73.95577801,10021
40.7047177,-74.00926027,10038
40.72362738,-73.99949601,10012
40.7643971,-73.97371465,10153
40.711066,-74.009447,10007
40.71044554,-73.96525063,11207
40.697787,-73.973736,11238
