ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
41834,324,64,89,1,99,28,43,1,100,.40579829,.2429022,0,.39147288,.71739131,.034722224,.2986111,0
41835,901,71,97,90,95,36,4,1,99,.6041407,.32049829,.22413793,.2943038,.5214408,.041551247,.099722989,0
41836,887,56,74,1,93,11,9,89,98,.15483487,.17474633,0,.26323986,.49111471,.019390581,.14958449,.080332413
41837,1268,55,87,58,90,1,19,1,97,.13258813,.22870663,.13813815,.23620026,.47188264,0,.20554273,0
41838,618,54,100,1,100,1,1,1,100,.10656424,.60194176,0,.52918285,.63456088,0,0,0
41839,1398,64,75,3,90,20,41,78,100,.40131021,.17958002,.038297873,.234,.61326534,.027972028,.2937063,.047202796
41840,650,86,85,97,96,24,49,95,95,1.1186306,.21538462,.29752067,.31458333,.43902439,.03164557,.32278481,.12025317
41843,526,70,100,1,94,97,30,1,96,.5764761,.45817491,0,.28475335,.45288754,.31638417,.25141242,0
41844,1611,89,100,97,81,91,89,20,100,1.2464321,.41608739,.29476583,.18625,.63324982,.16129032,.59013283,.0094876662
41845,352,62,100,1,100,37,10,1,100,.32314402,.84090906,0,.67272729,.90829694,.04225352,.15492958,0
41847,496,46,90,1,87,60,2,1,33,-.14845717,.25,0,.21670429,.25306123,.06477733,.06477733,0
41848,0,,,,,,,,,,0,0,0,0,0,0,0
41849,107,20,1,1,97,1,1,100,95,-.9731549,0,0,.33333334,.44827586,0,0,.37209302
41855,777,39,44,13,80,57,4,99,5,-.32826963,.1029601,.065727696,.17958412,.18834081,.061093248,.10610932,.20257235
41858,7592,84,98,82,88,51,45,52,99,1.0721669,.34387672,.19274896,.22348207,.54441911,.055702917,.30592397,.02328323
41859,312,63,100,1,81,87,8,1,100,.36132857,.42307693,0,.18374558,.67195767,.13173653,.14371258,0
41861,159,36,100,1,1,1,36,1,100,-.44187289,.42138365,0,0,.61538464,0,.27272728,0
41862,835,72,100,1,95,83,2,68,100,.6313473,.41197604,.0073529412,.30498534,.713799,.10945274,.067164183,.034825869
42001,29489,61,75,76,34,58,64,51,58,.32091928,.17717037,.17484209,.070735089,.29639778,.062529132,.38892341,.022526022
42003,28164,65,68,48,63,76,55,42,74,.43422028,.15751553,.12297829,.12414815,.33574837,.09013848,.35014686,.01846412
42020,1813,17,12,70,56,34,1,1,21,-1.0446961,.047986761,.1617357,.10795455,.23253588,.039270688,.03085554,0
42021,1491,62,75,9,91,79,24,19,92,.33402514,.17773306,.057742782,.24505183,.41584158,.097264439,.22644377,.0091185411
42022,168,1,1,1,1,1,1,1,10,-2.0501735,0,0,0,.20618556,0,0,0
42023,2343,56,80,51,75,55,16,8,96,.1737186,.19483362,.1273585,.15955473,.44848037,.05882353,.18978912,.0044395118
42024,1131,51,69,63,53,27,44,8,62,.016013838,.16039427,.14736842,.10292249,.30602783,.033898305,.30508474,.0042372881
42025,19468,37,45,29,59,45,18,40,74,-.40339285,.10429126,.092225887,.11574474,.33649328,.049962714,.19960229,.01739995
42027,1516,2,10,1,23,1,3,1,68,-1.7490956,.043362241,0,.05479452,.31926408,0,.094637223,0
42028,839,33,88,1,74,1,2,1,79,-.50957221,.23361145,0,.15473442,.35225049,0,.075000003,0
42029,6354,18,32,14,38,22,16,27,44,-1.0168989,.081980653,.068797402,.07831458,.27188939,.029583495,.18995719,.012456208
42031,2898,60,73,39,85,64,15,17,97,.26823506,.17343977,.10819165,.20380047,.4813737,.069660865,.18331806,.0082493126
42032,214,73,91,64,94,47,33,1,81,.67787969,.25247526,.15000001,.28,.35915494,.051948052,.25974026,0
42035,912,29,43,30,56,13,6,73,21,-.65788585,.10197368,.093984962,.10815307,.2317757,.021276595,.12234043,.039893616
42036,1153,24,10,64,74,1,8,1,4,-.80165452,.044232436,.15000001,.15496369,.17936508,0,.13918629,0
42037,66,11,1,1,100,1,1,1,99,-1.2790332,0,0,.59090906,.54838711,0,0,0
42038,5134,59,77,42,70,15,41,50,99,.2378227,.18498863,.11373578,.14379403,.55512857,.023379384,.29330498,.021785336
42039,1797,21,30,1,60,29,27,14,56,-.91490954,.07782755,0,.11824589,.2937001,.035868004,.23816356,.0071736011
42040,890,19,29,5,32,38,19,1,8,-.990619,.076477401,.044534411,.068554394,.2013889,.04359673,.20435968,0
42041,4506,81,88,83,81,90,56,6,76,.96705937,.23116824,.19653179,.18404323,.34072345,.15739769,.35414481,.0026232949
42044,3580,35,42,2,70,61,10,13,85,-.4563359,.10055866,.026809651,.14360042,.37604168,.066095471,.15667075,.006731946
42045,2207,39,38,2,83,2,38,84,72,-.33162877,.091832027,.02292769,.19219737,.33043477,.0064446833,.28034371,.060150377
42047,329,72,100,100,19,85,88,1,98,.64710027,.55623102,.44339624,.049261082,.50289017,.11888112,.57342654,0
42048,1641,58,85,35,72,50,17,4,93,.20591767,.21717791,.1018711,.14793389,.42086002,.054263566,.19121447,.0012919897
42049,1665,38,64,2,60,59,11,10,87,-.36254087,.14579552,.030373832,.11924119,.38433844,.063573882,.16323024,.005154639
42050,2794,84,92,85,88,89,52,1,100,1.0593184,.26697019,.20240137,.22308439,.5772627,.14147286,.33333334,0
42051,3440,55,88,17,82,52,4,84,72,.12350966,.23318648,.074257426,.18719211,.33070865,.056557376,.10081967,.060655739
42053,5044,37,44,33,37,70,11,60,78,-.40935421,.10289323,.099347353,.075634792,.34765625,.07901115,.16141541,.028114397
42054,850,7,7,2,48,35,1,1,22,-1.4759712,.037825059,.021367522,.093596056,.23473282,.040247679,.0092879254,0
42055,2828,19,55,1,42,2,2,42,79,-.98129702,.12541498,.0075757578,.0840488,.35034013,.0052910051,.066515498,.01814059
42056,1753,47,45,80,66,74,16,1,87,-.1116099,.10467179,.18434343,.13349918,.38283509,.085899517,.18800648,0
42058,2509,16,46,4,32,1,1,1,54,-1.0930856,.10721403,.04360465,.068142109,.28914142,0,.05638298,0
42060,0,,,,,,,,,,0,0,0,0,0,0,0
42061,78,20,100,1,1,1,1,1,100,-.95279914,.5,0,0,.79487181,0,0,0
42064,8074,49,65,55,74,71,15,24,82,-.045309164,.14902669,.13327077,.15696466,.36065239,.081249997,.1828125,.01125
42066,23792,76,86,63,64,81,45,59,82,.77608401,.22199689,.14691181,.12747267,.36388254,.10399126,.306725,.027227994
42069,610,26,30,1,67,63,2,1,83,-.74841809,.078688525,0,.1356784,.36746988,.069124423,.069124423,0
42071,31762,66,89,46,52,46,72,35,76,.44282064,.2376824,.11978869,.10064296,.34219375,.050373133,.4352693,.01541207
42076,1252,61,99,64,81,4,7,1,99,.29385915,.37307382,.14838709,.18424103,.51527226,.011472275,.13384321,0
42078,1800,54,66,18,71,88,17,16,97,.095976643,.15154994,.07692308,.14575215,.46349207,.13273196,.19458763,.0077319588
42079,1570,40,90,6,52,1,1,69,66,-.31417102,.24904458,.049763035,.10222222,.31484962,0,.045840409,.035653651
42081,1659,42,65,1,94,18,30,11,87,-.25235927,.1482821,.013392857,.28412464,.38546255,.025670946,.24970828,.0058343057
42082,1533,11,4,1,37,23,14,59,42,-1.2794135,.029605264,0,.076086953,.26905829,.030063292,.17563291,.026898734
42083,260,9,1,1,48,1,44,1,1,-1.3562704,0,0,.094059408,.06467662,0,.30392158,0
42084,42,85,100,100,70,92,91,1,41,1.0954244,.52380955,.5,.14285715,.26666668,.17391305,.60869563,0
42085,949,56,94,60,80,44,2,6,77,.14886093,.28134879,.14232209,.17739403,.34489796,.048648648,.064864866,.0027027028
42086,4414,24,34,21,46,14,22,54,76,-.79083902,.084730402,.081005588,.090762272,.34061605,.022766078,.21855435,.023904383
42087,2551,74,88,63,79,88,15,59,78,.72635484,.23602735,.14744526,.17708942,.34996629,.13436124,.18281938,.027533039
42088,2416,24,36,19,61,15,7,22,70,-.80136216,.08777038,.078492932,.1204893,.32416108,.022964509,.13152401,.010438413
42101,61768,89,89,92,77,63,83,73,75,1.2349859,.24056578,.2414086,.16729289,.33898306,.069089547,.51898909,.039893493
42102,352,86,100,100,89,1,79,100,99,1.1145875,.71875,.4642857,.23076923,.51941746,0,.48113209,.3018868
42103,20798,39,49,45,31,20,59,60,11,-.34534872,.11339462,.11749116,.06705457,.20792153,.027294438,.3679063,.028204253
42104,34955,45,49,38,43,49,58,32,33,-.17112567,.11342029,.10663124,.086015344,.25388065,.053209823,.36141032,.014433434
42120,3022,76,83,69,91,9,45,89,98,.79355866,.20894526,.15805022,.24052632,.48947069,.017486339,.30710381,.076502733
42122,5371,7,17,7,45,12,2,1,13,-1.4445103,.056786444,.051746443,.088483527,.21356784,.020515518,.06996318,0
42123,737,37,87,57,57,1,1,1,85,-.39277187,.22916667,.13636364,.11157025,.37634408,0,.060931899,0
